Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2018-03-27,Luxembourg,Austria,0,4,Friendly,Luxembourg,-6,+6,1326,1725
2018-03-27,Maldives,Bhutan,7,0,Asian Cup qualifier,the Maldives,+7,-7,942,585
2018-03-27,Mongolia,Mauritius,0,2,Friendly,Mongolia,-4,+4,658,1075
2018-03-27,Montenegro,Turkey,2,2,Friendly,Montenegro,0,0,1609,1720
2018-03-27,Morocco,Uzbekistan,2,0,Friendly,Morocco,+8,-8,1711,1606
2018-03-27,Myanmar,Macao,1,0,Asian Cup qualifier,Myanmar,+2,-2,1069,675
2018-03-27,Namibia,Lesotho,2,1,Friendly,Namibia,+4,-4,1381,1258
2018-03-27,North Korea,Hong Kong,2,0,Asian Cup qualifier,North Korea,+7,-7,1456,1183
2018-03-27,Oman,Palestine,1,0,Asian Cup qualifier,Oman,+9,-9,1538,1396
2018-03-27,Peru,Iceland,3,1,Friendly,the United States,+11,-11,1907,1787
2018-03-27,Philippines,Tajikistan,2,1,Asian Cup qualifier,the Philippines,+17,-17,1186,1196
2018-03-27,Poland,South Korea,3,2,Friendly,Poland,+5,-5,1831,1744
2018-03-27,Romania,Sweden,1,0,Friendly,Romania,+10,-10,1706,1796
2018-03-27,Russia,France,1,3,Friendly,Russia,-8,+8,1685,1983
2018-03-27,Serbia,Nigeria,2,0,Friendly,England,+13,-13,1771,1702
2018-03-27,Seychelles,Swaziland,0,0,Friendly,the Seychelles,+6,-6,946,1290
2018-03-27,Slovenia,Belarus,0,2,Friendly,Slovenia,-23,+23,1606,1531
2018-03-27,Spain,Argentina,6,1,Friendly,Spain,+12,-12,2048,1984
2018-03-27,Switzerland,Panama,6,0,Friendly,Switzerland,+6,-6,1879,1661
2018-03-27,Taiwan,Singapore,1,0,Asian Cup qualifier,Taiwan,+19,-19,996,1043
2018-03-27,Tanzania,Democratic Republic of Congo,2,0,Friendly,Tanzania,+23,-23,1319,1583
2018-03-27,Tunisia,Costa Rica,1,0,Friendly,France,+13,-13,1648,1744
2018-03-27,Uganda,Malawi,0,0,Friendly,Uganda,-6,+6,1457,1310
2018-03-27,Ukraine,Japan,2,1,Friendly,Belgium,+9,-9,1742,1692
2018-03-27,United States,Paraguay,1,0,Friendly,the United States,+7,-7,1754,1746
2018-03-27,Yemen,Nepal,2,1,Asian Cup qualifier,Qatar,+6,-6,1194,895
2018-04-01,Antigua and Barbuda,Dominica,0,0,Friendly,Antigua and Barbuda,-7,+7,1212,1011
2018-04-01,Malaysia,Bhutan,7,0,Friendly,Malaysia,+2,-2,1053,583
2018-04-17,Trinidad and Tobago,Panama,0,1,Friendly,Trinidad and Tobago,-6,+6,1424,1667
2018-04-18,Zimbabwe,Botswana,0,1,Friendly,Zimbabwe,-17,+17,1451,1278
2018-04-19,Eswatini,Namibia,1,0,Friendly,Eswatini,+10,-10,1300,1371
2018-04-26,Saint Kitts and Nevis,Jamaica,1,3,Friendly,Saint Kitts and Nevis,-7,+7,1241,1568
2018-04-29,Antigua and Barbuda,Jamaica,0,2,Friendly,Antigua and Barbuda,-6,+6,1206,1574
2018-04-29,Saint Barthélemy,Saint Martin,3,1,Friendly,Saint Barthélemy,+18,-18,712,848
2018-05-08,Iraq,Palestine,0,0,Friendly,Iraq,-6,+6,1551,1402
2018-05-09,Saudi Arabia,Algeria,2,0,Friendly,Spain,+14,-14,1576,1524
2018-05-11,Kuwait,Palestine,2,0,Friendly,Kuwait,+11,-11,1416,1391
2018-05-15,Saudi Arabia,Greece,2,0,Friendly,Spain,+19,-19,1595,1645
2018-05-19,Iran,Uzbekistan,1,0,Friendly,Iran,+3,-3,1797,1603
2018-05-20,Jordan,Cyprus,3,0,Friendly,Jordan,+10,-10,1475,1403
2018-05-25,Kenya,Eswatini,0,1,Friendly,Kenya,-15,+15,1361,1315
2018-05-25,Kuwait,Egypt,1,1,Friendly,Kuwait,+4,-4,1420,1640
2018-05-26,China,Myanmar,1,0,Friendly,China,+1,-1,1521,1068
2018-05-26,Saint Barthélemy,Sint Maarten,5,3,Friendly,Saint Barthélemy,+18,-18,730,862
2018-05-27,Burkina Faso,Cameroon,1,0,Friendly,France,+12,-12,1598,1643
2018-05-27,Comoros,Seychelles,1,1,COSAFA Cup,South Africa,-6,+6,1043,952
2018-05-27,Madagascar,Mozambique,2,1,COSAFA Cup,South Africa,+18,-18,1376,1297
2018-05-27,Niger,Central African Republic,3,3,Friendly tournament,Niger,-4,+4,1292,1316
2018-05-28,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Bosnia and Herzegovina,-6,+6,1724,1615
2018-05-28,Botswana,Angola,2,1,COSAFA Cup,South Africa,+19,-19,1297,1242
2018-05-28,France,Ireland,2,0,Friendly,France,+3,-3,1986,1720
2018-05-28,Italy,Saudi Arabia,2,1,Friendly,Switzerland,+3,-3,1901,1592
2018-05-28,Kenya,Equatorial Guinea,1,0,Friendly,Kenya,+6,-6,1367,1326
2018-05-28,Mauritius,Malawi,1,0,COSAFA Cup,South Africa,+32,-32,1107,1278
2018-05-28,Mexico,Wales,0,0,Friendly,the United States,-2,+2,1857,1777
2018-05-28,Nigeria,Democratic Republic of Congo,1,1,Friendly,Nigeria,-6,+6,1696,1589
2018-05-28,Portugal,Tunisia,2,2,Friendly,Portugal,-8,+8,1966,1656
2018-05-28,South Korea,Honduras,2,0,Friendly,South Korea,+6,-6,1750,1604
2018-05-28,Turkey,Iran,2,1,Friendly,Turkey,+9,-9,1729,1788
2018-05-28,United States,Bolivia,3,0,Friendly,the United States,+10,-10,1764,1673
2018-05-29,Argentina,Haiti,4,0,Friendly,Argentina,+1,-1,1985,1493
2018-05-29,Armenia,Malta,1,1,Friendly,Austria,-6,+6,1458,1208
2018-05-29,Azerbaijan,Kyrgyzstan,3,0,Friendly,Azerbaijan,+7,-7,1399,1237
2018-05-29,Kosovo,Albania,3,0,Friendly,Switzerland,+26,-26,1431,1569
2018-05-29,Madagascar,Seychelles,1,1,COSAFA Cup,South Africa,-17,+17,1359,969
