Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2021-03-26,Cape Verde,Cameroon,3,1,African Nations Cup qualifier,Cape Verde,+40,-40,1430,1566
2021-03-26,Burundi,Central African Republic,2,2,African Nations Cup qualifier,Burundi,-1,+1,1252,1335
2021-03-26,Chile,Bolivia,2,1,Friendly,Chile,+3,-3,1816,1580
2021-03-27,Wales,Mexico,1,0,Friendly,Wales,+10,-10,1833,1921
2021-03-27,Qatar,Azerbaijan,2,1,Friendly,Hungary,+4,-4,1647,1379
2021-03-27,Nepal,Bangladesh,0,0,Friendly tournament,Nepal,-7,+7,897,849
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Bosnia and Herzegovina,-3,+3,1640,1626
2021-03-27,Lesotho,Sierra Leone,0,0,African Nations Cup qualifier,Lesotho,-3,+3,1295,1352
2021-03-27,Benin,Nigeria,0,1,African Nations Cup qualifier,Benin,-15,+15,1465,1685
2021-03-27,Slovakia,Malta,2,2,World Cup qualifier,Slovakia,-18,+18,1634,1228
2021-03-27,Serbia,Portugal,2,2,World Cup qualifier,Serbia,+8,-8,1792,2031
2021-03-27,Russia,Slovenia,2,1,World Cup qualifier,Russia,+10,-10,1758,1644
2021-03-27,Norway,Turkey,0,3,World Cup qualifier,Spain,-32,+32,1733,1827
2021-03-27,Netherlands,Latvia,2,0,World Cup qualifier,the Netherlands,+1,-1,1954,1249
2021-03-27,Montenegro,Gibraltar,4,1,World Cup qualifier,Montenegro,+3,-3,1545,1090
2021-03-27,Ireland,Luxembourg,0,1,World Cup qualifier,Ireland,-36,+36,1613,1396
2021-03-27,Czechia,Belgium,1,1,World Cup qualifier,Czechia,+12,-12,1781,2105
2021-03-27,Croatia,Cyprus,1,0,World Cup qualifier,Croatia,+1,-1,1834,1337
2021-03-27,Belarus,Estonia,4,2,World Cup qualifier,Belarus,+13,-13,1510,1362
2021-03-27,US Virgin Islands,Antigua and Barbuda,0,3,World Cup qualifier,the US Virgin Islands,-9,+9,693,1154
2021-03-27,Suriname,Aruba,6,0,World Cup qualifier,the United States,+7,-7,1324,885
2021-03-27,Nicaragua,Turks and Caicos Islands,7,0,World Cup qualifier,the Dominican Republic,+8,-8,1215,789
2021-03-27,Guatemala,British Virgin Islands,3,0,World Cup qualifier,Curaçao,0,0,1495,608
2021-03-27,Dominican Republic,Anguilla,6,0,World Cup qualifier,the United States,+2,-2,1184,550
2021-03-27,Bahamas,Saint Kitts and Nevis,0,4,World Cup qualifier,the Bahamas,-18,+18,888,1225
2021-03-28,Northern Ireland,United States,1,2,Friendly,Northern Ireland,-8,+8,1576,1766
2021-03-28,Greece,Honduras,2,1,Friendly,Greece,+6,-6,1651,1604
2021-03-28,Tunisia,Equatorial Guinea,2,1,African Nations Cup qualifier,Tunisia,+4,-4,1646,1355
2021-03-28,Tanzania,Libya,1,0,African Nations Cup qualifier,Tanzania,+20,-20,1298,1358
2021-03-28,Sudan,South Africa,2,0,African Nations Cup qualifier,Sudan,+36,-36,1386,1480
2021-03-28,Namibia,Guinea,2,1,African Nations Cup qualifier,Namibia,+22,-22,1342,1438
2021-03-28,Ghana,São Tomé and Príncipe,3,1,African Nations Cup qualifier,Ghana,+1,-1,1609,1067
2021-03-28,Ukraine,Finland,1,1,World Cup qualifier,Ukraine,-12,+12,1837,1711
2021-03-28,Switzerland,Lithuania,1,0,World Cup qualifier,Switzerland,+1,-1,1883,1361
2021-03-28,San Marino,Hungary,0,3,World Cup qualifier,San Marino,-1,+1,830,1744
2021-03-28,Romania,Germany,0,1,World Cup qualifier,Romania,-10,+10,1666,1972
2021-03-28,Poland,Andorra,3,0,World Cup qualifier,Poland,0,0,1815,1032
2021-03-28,North Macedonia,Liechtenstein,5,0,World Cup qualifier,North Macedonia,+3,-3,1562,1107
2021-03-28,Kosovo,Sweden,0,3,World Cup qualifier,Kosovo,-15,+15,1485,1839
2021-03-28,Kazakhstan,France,0,2,World Cup qualifier,Kazakhstan,-1,+1,1333,2077
2021-03-28,Israel,Scotland,1,1,World Cup qualifier,Israel,-1,+1,1579,1662
2021-03-28,Georgia,Spain,1,2,World Cup qualifier,Georgia,-3,+3,1501,2036
2021-03-28,Denmark,Moldova,8,0,World Cup qualifier,Denmark,+1,-1,1940,1222
2021-03-28,Bulgaria,Italy,0,2,World Cup qualifier,Bulgaria,-5,+5,1489,2006
2021-03-28,Austria,Faroe Islands,3,1,World Cup qualifier,Austria,+2,-2,1787,1265
2021-03-28,Armenia,Iceland,2,0,World Cup qualifier,Armenia,+30,-30,1559,1596
2021-03-28,Albania,England,0,2,World Cup qualifier,Albania,-9,+9,1550,1971
2021-03-28,Puerto Rico,Trinidad and Tobago,1,1,World Cup qualifier,Puerto Rico,+14,-14,994,1352
2021-03-28,Panama,Dominica,2,1,World Cup qualifier,the Dominican Republic,+2,-2,1544,1013
2021-03-28,El Salvador,Montserrat,1,1,World Cup qualifier,Curaçao,-19,+19,1467,894
2021-03-28,Curaçao,Cuba,2,1,World Cup qualifier,Guatemala,+11,-11,1435,1253
2021-03-29,Uzbekistan,Iraq,0,1,Friendly,Uzbekistan,-11,+11,1552,1637
2021-03-29,United Arab Emirates,India,6,0,Friendly,the United Arab Emirates,+5,-5,1435,1192
2021-03-29,Nepal,Bangladesh,2,1,Friendly tournament,Nepal,+9,-9,906,840
2021-03-29,Kuwait,Lebanon,1,1,Friendly,the United Arab Emirates,0,0,1397,1386
2021-03-29,Ecuador,Bolivia,2,1,Friendly,Ecuador,+2,-2,1828,1578
